species,alat,energy,order_d,led,status
H,1.3699838867187595,-4.0023297630022297e+24,0,-7.234274360336948e+20,False
H,1.3799838867187595,-2.5667815026127587e+24,0,7.705176115868018e+21,False
H,1.3899838867187595,-1.623417480986796e+24,0,1.2307679624998693e+21,False
H,1.3999838867187595,-1.0161315330226315e+24,0,7.794255682787745e+20,False
H,1.4099838867187595,-6.306626107902699e+23,0,2.1944779542271298e+21,False
H,1.4199838867187595,-3.872101757564342e+23,0,8.561702778463188e+20,False
H,1.4299838867187595,-2.3575764537489173e+23,0,7.4183882693002e+20,False
H,1.4399838867187595,-1.4290552536109152e+23,0,1.1257887975618658e+20,False
H,1.4499838867187596,-8.673438802508651e+22,0,4.3798761791440146e+20,False
H,1.4599838867187596,-5.2353839309953664e+22,0,3.730037883754177e+20,False
H,1.4699838867187593,-3.1227045513256688e+22,0,2.132187751227938e+19,False
H,1.4799838867187596,-1.8542807579559713e+22,0,1.2533915435393814e+20,False
H,1.4899838867187594,-1.09775383701748e+22,0,3.8734665228207606e+18,False
H,1.4999838867187594,-6.567331398088234e+21,0,3.825262898952645e+19,False
H,1.5099838867187594,-3.955925901836921e+21,0,2.587506712823536e+19,False
H,1.5199838867187594,-2.3714660463714474e+21,0,2.3587418396096025e+19,False
H,1.5299838867187594,-1.396985149118932e+21,0,-1.8410710412063048e+18,False
H,1.5399838867187594,-8.15155277213607e+20,0,6.03107502638933e+18,False
H,1.5499838867187594,-4.6676273712024414e+20,0,1.716816694782449e+18,False
H,1.5599838867187594,-2.61754500881394e+20,0,1.7147946397000197e+18,False
H,1.5699838867187594,-1.4305175595904988e+20,0,4.076067800330267e+17,False
H,1.5799838867187594,-7.624900506595262e+19,0,1.0689370701735652e+18,False
H,1.5899838867187595,-3.932529832739073e+19,0,-9.872462456164762e+16,False
H,1.5999838867187595,-2.0198592601002164e+19,0,3.29526396992378e+17,False
H,1.6099838867187595,-1.0312129055732996e+19,0,1.706757960182326e+17,False
H,1.6199838867187595,-5.226780919207272e+18,0,1.0687124460012322e+17,False
H,1.6299838867187595,-2.643895095772751e+18,0,1.3864959009685364e+16,False
H,1.6399838867187595,-1.3812373903915092e+18,0,3.398721202666999e+16,False
H,1.6499838867187595,-7.317650410392064e+17,0,2.403549260423283e+16,False
H,1.6599838867187595,-3.804369646469681e+17,0,551013156706236.0,False
H,1.6699838867187595,-2.002904849413678e+17,0,3888607512299172.5,False
H,1.6799838867187595,-1.0822837681902974e+17,0,6328256659552.0,False
H,1.6899838867187595,-6.171278740639164e+16,0,2492617222951007.0,False
H,1.6999838867187596,-3.5433590985909604e+16,0,-63618504858478.164,False
H,1.7099838867187596,-2.12704194561008e+16,0,75934839007604.16,False
H,1.7199838867187593,-1.3336958993837382e+16,0,291069920112450.25,False
H,1.7299838867187596,-8362661083497397.0,0,22027395014587.875,False
H,1.7399838867187594,-5237133482919151.0,0,15419886015086.875,False
H,1.7499838867187596,-3263720702726510.5,0,29718890623411.457,False
H,1.7599838867187594,-2027339636241368.8,0,-8714775585898.104,False
H,1.7699838867187594,-1301960243393130.8,0,-6971870278101.583,False
H,1.7799838867187594,-872292206978241.2,0,14922548613715.25,False
H,1.7899838867187594,-586073586175574.6,0,491454242327.3125,False
H,1.7999838867187594,-395902038215044.5,0,2145627697590.6094,False
H,1.8099838867187594,-269699526695312.0,0,-1956075502610.6926,False
H,1.8199838867187594,-187763596129822.12,0,846093432778.8801,False
H,1.8299838867187594,-129893605761260.22,0,947865529754.3594,False
H,1.8399838867187595,-87127182577216.03,0,127238869497.57031,False
H,1.8499838867187595,-56663660713510.34,0,-11421320698.308594,False
H,1.8599838867187595,-36176888275668.97,0,-266385967066.37173,False
H,1.8699838867187595,-23051794121937.17,0,177629016764.1753,False
H,1.8799838867187595,-14452915787469.648,0,-34244355505.268066,False
H,1.8899838867187595,-8922715286728.73,0,40032796576.85327,False
H,1.8999838867187595,-5315805012899.323,0,50124922635.58765,False
H,1.9099838867187595,-3004413870920.5225,0,-34000513273.368793,False
H,1.9199838867187595,-1638190498024.4937,0,25341321096.544685,False
H,1.9299838867187593,-843453727922.9429,0,-4313481948.07007,False
H,1.9399838867187595,-427195670447.32947,0,647608560.7275136,False
H,1.9499838867187593,-225033784969.59906,0,2118058197.1312637,False
H,1.9599838867187596,-127091772090.60329,0,4699868085.272699,False
H,1.9699838867187593,-74113922275.7349,0,286617073.7124697,False
H,1.9799838867187596,-44756766672.14003,0,1517871258.503811,False
H,1.9899838867187594,-27389868597.082123,0,-650989518.656868,False
H,1.9999838867187596,-18376121095.666985,0,181813712.5194241,False
H,2.0099838867187594,-12964519389.819939,0,321617728.97616196,False
H,2.0199838867187596,-9196097990.227028,0,-97827969.27378543,False
H,2.0299838867187594,-6813048421.218485,0,212210893.19035512,False
H,2.0399838867187596,-5329012846.911751,0,-414994734.02792025,False
H,2.0499838867187594,-4616051886.854192,0,353622456.0804857,False
H,2.0599838867187596,-3631379256.8809633,0,-65919486.18392662,False
H,2.0699838867187594,-2907330173.2825346,0,-34275549.92843123,False
H,2.0799838867187592,-2429626616.321773,0,-18027406.002789497,False
H,2.0899838867187595,-2032894247.3375018,0,22481835.67621211,False
H,2.0999838867187597,-1606315708.3150885,0,17624834.883473672,False
H,2.1099838867187595,-1201795057.9031801,0,-6026317.504267931,False
H,2.1199838867187593,-899066757.3564303,0,-9459641.88733058,False
H,2.1299838867187595,-699946661.2346566,0,-579071.6541393895,False
